dt,A,B
11.46481633,0,0
11.49614167,0,0
11.52829242,0,0
11.55975342,0,0
11.59185314,0,0
11.62279129,0,0
11.65436339,0,0
11.68526673,0,0
11.71663284,0,0
11.74715567,0,0
11.77837753,0,0
11.81021976,0,0
11.84155035,0,0
11.87292457,0,0
11.9043479,0,0
11.9360013,0,0
11.96721482,0,0
11.99806952,0,0
12.02926159,0,0
12.06078696,0,0
12.09232616,0,0
12.12381649,0,0
12.15461469,0,0
12.18550396,0,0
12.21610737,0,0
12.24698257,0,0
12.27861834,0,0
12.31021857,0,0
12.34191585,0,0
12.37242651,0,0
12.40303898,0,0
12.43387842,0,0
12.4647665,0,0
12.49576092,0,0
12.52725744,0,0
12.55808234,0,0
12.58902216,0,0
12.61978626,0,0
12.65120959,0,0
12.68301392,0,0
12.71440554,0,0
12.7458303,0,0
12.77691722,0,0
12.80777431,0,0
12.83916497,0,0
12.87051535,0,0
12.90245795,0,0
12.93370605,0,0
12.96490216,0,0
12.99548531,0,0
13.02710176,0,0
13.05883384,0,0
13.0900774,0,0
13.12263942,0,0
13.15382528,0,0
13.1856637,0,0
13.21706557,0,0
13.24847841,0,0
13.280128,0,0
13.3115809,0,0
13.34239721,0,0
13.37373424,0,0
13.40504766,0,0
13.43639374,0,0
13.46701455,0,0
13.49827194,0,0
13.52928042,0,0
13.56136036,0,0
13.59272933,0,0
13.62343812,0,0
13.65508294,0,0
13.68622661,0,0
13.71708226,0,0
13.74888635,0,0
13.77966356,0,0
13.8108902,0,0
13.84224224,0,0
13.8736403,0,0
13.90506148,0,0
13.93566084,0,0
13.96695185,0,0
13.99804044,0,0
14.02992082,0,0
14.06054425,0,0
14.09132099,0,0
14.12181544,0,0
14.15378594,0,0
14.184448,0,0
14.21601391,0,0
14.24682951,0,0
14.27786016,0,0
14.30879402,0,0
14.34085822,0,0
14.37193465,0,0
14.4039216,0,0
14.43530488,0,0
14.46598339,0,0
14.49657893,0,0
14.52855587,0,0
14.55965495,0,0
14.5912869,0,0
14.62241912,0,0
14.65319204,0,0
14.68462062,0,0
14.71588016,0,0
14.74634409,0,0
14.77827334,0,0
14.80880427,0,0
14.84044957,0,0
14.87097883,0,0
14.90275884,0,0
14.93394685,0,0
14.96516824,0,0
14.99640346,0,0
15.02846789,0,0
15.06010556,0,0
15.09136271,0,0
15.12269568,0,0
15.15358353,0,0
15.18536115,0,0
15.21655369,0,0
15.24725628,0,0
15.27809238,0,0
15.30977201,0,0
15.34122157,0,0
15.37183762,0,0
15.40327883,0,0
15.43388486,0,0
15.4658885,0,0
15.49734163,0,0
15.52910542,0,0
15.56132817,0,0
15.59231281,0,0
15.62362003,0,0
15.65395379,0,0
15.68560481,0,0
15.71666265,0,0
15.74786878,0,0
15.7790904,0,0
15.81071019,0,0
15.8408196,0,0
15.87146854,0,0
15.90300751,0,0
15.9338367,0,0
15.9653089,0,0
15.99690557,0,0
16.02856016,0,0
16.05973339,0,0
16.09113312,0,0
16.12243342,0,0
16.15379858,0,0
16.18501544,0,0
16.21623158,0,0
16.24772334,0,0
16.2785368,0,0
16.30945182,0,0
16.34112144,0,0
16.37246084,0,0
16.40417433,0,0
16.43604922,0,0
16.46780753,0,0
16.49936891,0,0
16.53077054,0,0
16.56206059,0,0
16.59367871,0,0
16.62477279,0,0
16.65510178,0,0
16.68572354,0,0
16.71600437,0,0
16.74643874,0,0
16.77801871,0,0
16.80936956,0,0
16.8406713,0,0
16.87168479,0,0
16.9031589,0,0
16.9347105,0,0
16.96595073,0,0
16.99742436,0,0
17.02913666,0,0
